,vin,cyclenum,date,end_time,state,odometer,min_soc,max_soc,start_voltage,end_voltage,ah_consumed,temp,month,up_y,low_y,to_be_taken
2,MB7U8CLLTKJL30643,1,2021-07-06,2021-07-23 07:50:43,21,18964.0,14.9,100.0,3.36,3.4,15.510000000000002,30.7,7-2021,27.178224546621855,7.1782245466218555,True
7,MB7U8CLLTKJL30643,2,2021-06-01,2021-06-01 15:12:59,21,16339.0,74.1,100.0,3.36,3.36,27.459999999999997,38.1,6-2021,28.547278675584415,8.547278675584415,True
10,MB7U8CLLTKJL30643,2,2022-08-05,2022-08-05 18:24:20,21,33053.0,83.3,100.0,3.36,3.38,16.340000000000003,29.4,8-2022,19.830185071210995,-0.1698149287890054,True
11,MB7U8CLLTKJL30643,3,2021-03-11,2021-03-12 10:23:12,21,12835.0,14.2,100.0,3.36,3.38,25.47,32.3,3-2021,30.374770358588155,10.374770358588155,True
17,MB7U8CLLTKJL30643,4,2021-07-05,2021-07-07 08:48:20,21,18597.0,71.5,100.0,3.36,3.37,26.63,38.7,7-2021,27.369631352461575,7.369631352461575,True
18,MB7U8CLLTKJL30643,4,2022-05-09,2022-05-10 13:18:24,21,31050.0,92.7,100.0,3.36,3.51,7.66,39.3,5-2022,20.874838564663186,0.874838564663186,True
20,MB7U8CLLTKJL30643,5,2022-05-12,2022-05-12 14:13:45,21,31080.0,80.8,100.0,3.36,3.5,19.720000000000002,31.5,5-2022,20.85919223176076,0.8591922317607583,True
26,MB7U8CLLTKJL30643,8,2021-07-21,2021-07-21 21:23:07,21,18893.0,78.7,100.0,3.36,3.41,20.09,34.2,7-2021,27.215254201157606,7.215254201157606,True
28,MB7U8CLLTKJL30643,11,2021-05-07,2021-05-07 18:49:28,21,15031.0,84.6,100.0,3.36,3.38,17.130000000000003,36.7,5-2021,29.22945879013033,9.22945879013033,True
29,MB7U8CLLTKJL30643,15,2021-05-11,2021-05-11 20:01:56,21,15216.0,70.7,100.0,3.36,3.37,28.290000000000006,40.0,5-2021,29.132973070565352,9.132973070565352,True
36,MB7U8CLLTKJL30643,32,2021-06-18,2021-06-18 12:32:15,21,17442.0,73.3,100.0,3.36,3.36,21.57,32.0,6-2021,27.9720151692051,7.9720151692051004,True
37,MB7U8CLLTKJL30643,33,2022-07-28,2022-07-28 18:19:29,21,32974.0,81.9,100.0,3.36,3.36,14.499999999999993,38.5,7-2022,19.87138708118739,-0.1286129188126104,True
38,MB7U8CLLTKJL30643,34,2021-06-19,2021-06-19 09:12:16,21,17495.0,79.3,100.0,3.36,3.36,18.919999999999998,29.8,6-2021,27.94437331441081,7.944373314410811,True
40,MB7U8CLLTKJL30643,38,2021-06-20,2021-06-20 15:58:19,21,17655.0,75.7,100.0,3.36,3.36,27.08,36.1,6-2021,27.860926205597853,7.860926205597853,True
41,MB7U8CLLTKJL30643,40,2021-06-21,2021-06-21 15:20:20,21,17716.0,73.7,100.0,3.36,3.37,27.599999999999998,36.2,6-2021,27.829111995362915,7.829111995362915,True
43,MB7U8CLLTKJL30643,48,2021-06-27,2021-06-27 21:41:46,21,18058.0,69.8,100.0,3.36,3.37,25.47,31.8,6-2021,27.65074380027522,7.650743800275219,True
45,MB7U8CLLTKJL30643,54,2021-06-30,2021-06-30 22:07:15,21,18263.0,85.5,100.0,3.36,3.36,15.8,35.4,6-2021,27.54382719210862,7.543827192108619,True
46,MB7U8CLLTKJL30643,58,2021-07-03,2021-07-03 21:52:16,21,18438.0,77.7,100.0,3.36,3.37,8.45,35.5,7-2021,27.45255691684445,7.4525569168444505,True
50,MB7U8CLLTKJL30643,321,2020-10-28,2020-10-28 10:03:47,21,6342.0,66.8,100.0,3.36,3.4,32.91,33.8,10-2020,33.76115834310393,13.761158343103926,True
53,MB7U8CLLTKJL30643,336,2020-11-30,2020-11-30 11:45:16,21,7167.0,66.5,100.0,3.36,3.38,31.939999999999998,35.4,11-2020,33.33088418828712,13.330884188287122,True
54,MB7U8CLLTKJL30643,337,2020-11-30,2020-11-30 21:19:17,21,7206.0,72.7,100.0,3.36,3.4,31.72,37.2,11-2020,33.310543955513964,13.310543955513964,True
56,MB7U8CLLTKJL30643,340,2020-12-07,2020-12-07 21:24:29,21,7389.0,65.6,100.0,3.36,3.37,30.35,38.2,12-2020,33.21510132480915,13.215101324809147,True
58,MB7U8CLLTKJL30643,342,2020-12-09,2020-12-09 22:18:10,21,7484.0,71.2,100.0,3.36,3.38,30.97999999999999,39.2,12-2020,33.16555460395145,13.165554603951453,True
